word,freq
假设,3
小传,3
看见,3
风味,3
纯粹,3
新鲜,3
说完,3
轻松,3
范围,3
谢谢,3
公交车,3
坐车,3
梁思成,3
方面,3
观念,3
殿堂,3
刻意,3
人工,3
满足,3
砖石,3
例外,3
严谨,3
优美,3
读者,3
听不懂,3
愤怒,3
界面,3
眼前,3
一页,3
飞快,3
表示,3
离去,3
那天,3
能力,3
喜欢这种,3
哥哥,3
觉悟,3
充实,3
一堆,3
海关,3
小学生,3
十二,3
关口,3
顺畅,3
烧腊,3
大王,3
云吞面,3
旧街,3
场白,3
恭和堂,3
方剂,3
产物,3
流沙,3
馒头,3
一道,3
没想到,3
功夫,3
测评,3
两次,3
一程,3
走向,3
之下,3
店里,3
休息,3
事实,3
降噪,3
别的,3
返程,3
两瓶,3
药材烧腊,3
简单云吞面,3
旧街场白,3
场白咖啡,3
一点点,3
科技,3
师傅,3
反过来,3
床头柜,3
一切,3
随笔,3
屏幕,3
巨困,3
表情,3
人能,3
睡着,3
边缘,3
睡不着,3
明明,3
螺丝,3
设计,3
耦合,3
床上,3
原籍,3
几种,3
不可,3
诸如此类,3
垃圾,3
做生意,3
转移,3
一阵,3
不谈,3
当地,3
不小,3
利用,3
偏偏,3
摘抄,3
风格,3
有些地方,3
往前一点,3
看到他们,3
看起来好像,3
我们假定,3
哲学,3
高维,3
大象,3
房间,3
数学,3
场景,3
之分,3
像素点,3
阶段,3
气味,3
介绍,3
正反,3
特殊,3
讲得,3
老阳,3
老阴,3
弱者,3
之用,3
以至于,3
懒得,3
建议,3
手中,3
优化,3
之上,3
骂人,3
辩证法,3
学科,3
规范,3
多么,3
意志,3
单一,3
本人,3
开出,3
包含,3
结合,3
也就是说,3
发财,3
网络,3
破译,3
小朋友,3
陌生,3
抽象方式,3
输入输出,3
抽象化方法,3
接下来按照,3
之动弱者,3
弱者之用,3
错卦综卦,3
方法就是,3
语言模型,3
好像一直,3
比如现在,3
汉语言,3
一致,3
减少,3
二分法,3
明亮,3
发音,3
回答,3
进而,3
四张,3
阅读,3
剧情,3
预料,3
区间,3
标签,3
消解,3
保留,3
道理,3
量子力学,3
化学,3
做法,3
多种,3
生命力,3
简单二分法,3
几何解释,3
函数函数,3
雕刻,3
剩下,3
更为,3
效果,3
如是,3
一写,3
原创贡献,3
经由,3
关键词,3
各执一词,3
灵媒,3
相互,3
马上,3
穿着,3
女人,3
丈夫,3
保持,3
灵魂,3
不见,3
含有,3
日常,3
长衫,3
真实,3
来说就是,3
还要,3
年货,3
总得,3
秩序,3
寸铁,3
手里,3
年关,3
腊月,3
社交,3
只不过,3
出发,3
封面,3
适合,3
提示,3
聊着聊着,3
量表,3
面对,3
二十年,3
我能,3
凌晨,3
机票,3
问要,3
机场,3
然而,3
奔袭,3
夜光,3
两年,3
特种兵,3
开车,3
游客,3
照亮,3
缘起,3
性空,3
宇宙,3
因缘,3
真空,3
一路,3
海水,3
海边,3
拿到,3
沙滩,3
福州市,3
本地,3
湘菜,3
固有,3
颜悦色,3
最后一次,3
一次看到,3
问要不要,3
看到眼泪,3
固有偏见,3
说起,3
管材,3
碰到,3
集采,3
一笔,3
博览会,3
走走,3
夏天,3
时候我们,3
不好,3
合作,3
生物医学,3
编码,3
总之,3
字符,3
相当于,3
换药,3
震撼,3
病人,3
湘江,3
一些朋友,3
不吃,3
前段时间,3
推动,3
优势,3
不是这种,3
虽然有些,3
文学史,3
积累,3
载体,3
李白,3
制作,3
意识流,3
黑白,3
彩色,3
很小,3
西南官话,3
老哥,3
岳麓山,3
一块钱,3
烧香,3
清廉,3
中考,3
入学,3
外语成绩,3
学业成绩,3
圈层,3
