word,freq
一台,20
夸张,20
持续,20
培养,20
稍稍,20
少年,20
打字,20
服务生,20
前方,20
必然,20
小朋友,20
难以,20
头发,20
主体,20
粤语,20
冬天,20
好听,20
调研,20
并不知道,20
清晰,20
柠檬,20
上述,20
色素,20
蓝色,20
头上,20
一瓶,20
极好,20
某些,20
这些东西,20
规则,20
独立,20
桂花,20
知乎,20
高考,20
厉害,20
一段文字,20
统一,20
停下来,20
社交,20
其他地方,20
留在,20
转身,20
核心,20
文和友,20
人情,20
一门,20
驾驶,20
开放,20
人格,20
因素,20
原创性,20
侵害,20
当前,20
服务,20
截图,20
思想实验,20
内核,20
理念,20
这么久,20
箱子,20
道长,20
制造,20
今早,20
朋友一起,20
高速,20
服装,20
佛教,20
这周,20
泰国,20
混乱,20
莫高窟,20
语言模型,20
老铁,19
六个,19
莫名其妙,19
这样的话,19
山顶,19
爸妈,19
蜗壳,19
牛肉,19
楼上,19
提及,19
时候知道,19
背着,19
停止,19
向前,19
人能,19
说来,19
输入,19
好奇,19
坚持,19
发现自己,19
本人,19
走上,19
一颗,19
资源,19
忽然,19
惊喜,19
观念,19
这时,19
报道,19
还有很多,19
如是,19
这座,19
店铺,19
听听,19
世纪,19
土地,19
大陆,19
深度,19
感慨,19
行走,19
话语,19
八点,19
循环,19
社会学,19
属性,19
替代,19
周六,19
作业,19
增加,19
一致,19
学科,19
时候我们,19
生活状态,19
场合,19
做点,19
周遭,19
纪念,19
怀念,19
代入,19
制作,19
发挥,19
在意,19
顺着,19
备忘录,19
社群,19
进而,19
风景,19
无所谓,19
格外,19
绘画,19
问题时候,19
脑内,19
沉浸,19
按下不表,19
意见,19
场所,19
秩序,19
到位,19
了不起,19
感伤,19
舞台,19
极限,19
热带,19
食阁,19
市区,19
明天今天,19
飞天,19
太原,19
大同,19
特征工程,19
举起,18
首歌,18
不曾,18
目光,18
座位,18
脸上,18
听不懂,18
走走,18
嘴巴,18
舍友,18
二十,18
难受,18
走廊,18
裹挟,18
似的,18
松弛,18
故意,18
再次,18
空中,18
结合,18
国人,18
比例,18
苦难,18
动词,18
人来,18
擅长,18
女子,18
厨房,18
启发,18
现有,18
角度来看,18
嘴里,18
三天,18
倒不如,18
虽然知道,18
音乐会,18
特质,18
好事,18
楼梯,18
宣传,18
路面,18
物品,18
消费者,18
性别,18
店面,18
说明,18
南方,18
脂肪,18
一个半,18
绿色,18
纠结,18
十二,18
考量,18
提高,18
取消,18
承认,18
仔细,18
教师,18
这些事情,18
五个,18
况且,18
年轻,18
新鲜,18
诸多,18
种种,18
店老板,18
感动,18
负责,18
老人,18
一些事情,18
恰好,18
师姐,18
世俗,18
起床,18
帽子,18
早早,18
功夫,18
词句,18
黑白,18
展示,18
豆浆,18
地位,18
强度,18
铁路,18
这点,18
形象,18
帝国,18
在家,18
喝酒,18
敏感,18
书里,18
爱情,18
走来走去,18
生理,18
停电,18
流派,18
照顾,18
音乐节,18
四月,18
于是我们,18
崇高,18
死亡,18
遗憾,18
这种感觉,18
杀人,18
牌子,18
笑话,18
成本,18
学位,18
何必,18
游行,18
震撼,18
漓江,18
昆明,18
满足原创性,18
原创性要求,18
要求一段,18
文字不看,18
不看也罢,18
信众,18
红茶,17
商业,17
患者,17
三点,17
保留,17
某种,17
刺激,17
椅子,17
冲击,17
十二点,17
五十,17
大意,17
分钟,17
上楼,17
抛弃,17
校友,17
烧烤,17
走走停停,17
艰难,17
篇文章,17
尴尬,17
不仅仅,17
网友,17
圈子,17
特殊,17
认知科学,17
总能,17
一想,17
罗生门,17
在外,17
图书馆,17
影子,17
这座城市,17
欣赏,17
家人,17
床上,17
原文,17
